,lr,batch_size,max_voc_size,context_length,max_input_length,embedding_size,optimizer,trloss,valacc
0,0.001,512,1000,1,-1,30,Adam,0.403742253780365,80.92
1,0.001,512,1000,1,-1,30,SGD,0.6943724155426025,55.04
2,0.001,512,1000,1,-1,300,Adam,0.33490002155303955,80.98
3,0.001,512,1000,1,-1,300,SGD,0.6576744914054871,60.66
4,0.001,512,1000,1,300,30,Adam,0.374565064907074,82.58
5,0.001,512,1000,1,300,30,SGD,0.6423404812812805,60.34
6,0.001,512,1000,1,300,300,Adam,0.22391614317893982,73.6
7,0.001,512,1000,1,300,300,SGD,0.6587496399879456,69.36
8,0.001,512,1000,2,-1,30,Adam,0.41157737374305725,75.96
9,0.001,512,1000,2,-1,30,SGD,0.6969825029373169,51.16
10,0.001,512,1000,2,-1,300,Adam,0.4775376319885254,58.54
11,0.001,512,1000,2,-1,300,SGD,0.707750141620636,50.06
12,0.001,512,1000,2,300,30,Adam,0.572216808795929,75.92
13,0.001,512,1000,2,300,30,SGD,0.6890774369239807,52.54
14,0.001,512,1000,2,300,300,Adam,0.6399632096290588,69.22
15,0.001,512,1000,2,300,300,SGD,0.6636373996734619,62.1
16,0.001,512,1000,3,-1,30,Adam,0.6715798377990723,50.34
17,0.001,512,1000,3,-1,30,SGD,0.6995216012001038,49.76
18,0.001,512,1000,3,-1,300,Adam,0.6570214629173279,55.48
19,0.001,512,1000,3,-1,300,SGD,0.6704249382019043,50.56
20,0.001,512,1000,3,300,30,Adam,0.48755887150764465,69.3
21,0.001,512,1000,3,300,30,SGD,0.6893030405044556,50.0
22,0.001,512,1000,3,300,300,Adam,0.5806185603141785,63.32
23,0.001,512,1000,3,300,300,SGD,0.6803774833679199,52.62
24,0.001,512,1000,4,-1,30,Adam,0.6991968154907227,50.0
25,0.001,512,1000,4,-1,30,SGD,0.6948453187942505,51.22
26,0.001,512,1000,4,-1,300,Adam,0.7053887248039246,50.52
27,0.001,512,1000,4,-1,300,SGD,0.6919816136360168,50.74
28,0.001,512,1000,4,300,30,Adam,0.6830040812492371,54.22
29,0.001,512,1000,4,300,30,SGD,0.6958788633346558,50.0
30,0.001,512,1000,4,300,300,Adam,0.6516656279563904,62.68
31,0.001,512,1000,4,300,300,SGD,0.6996879577636719,52.3
32,0.001,512,100000,1,-1,30,Adam,0.23011375963687897,84.38
33,0.001,512,100000,1,-1,30,SGD,0.6942170262336731,58.7
34,0.001,512,100000,1,-1,300,Adam,0.23403018712997437,84.22
35,0.001,512,100000,1,-1,300,SGD,0.6763890981674194,60.04
36,0.001,512,100000,1,300,30,Adam,0.13225670158863068,83.18
37,0.001,512,100000,1,300,30,SGD,0.6696979999542236,58.3
38,0.001,512,100000,1,300,300,Adam,0.09363789856433868,79.5
39,0.001,512,100000,1,300,300,SGD,0.553829550743103,69.16
40,0.001,512,100000,2,-1,30,Adam,0.0625658631324768,84.48
41,0.001,512,100000,2,-1,30,SGD,0.6853689551353455,51.34
42,0.001,512,100000,2,-1,300,Adam,0.11447835713624954,87.06
43,0.001,512,100000,2,-1,300,SGD,0.7028217911720276,51.3
44,0.001,512,100000,2,300,30,Adam,0.019935965538024902,82.04
45,0.001,512,100000,2,300,30,SGD,0.6767866611480713,52.62
46,0.001,512,100000,2,300,300,Adam,0.006889487151056528,84.28
47,0.001,512,100000,2,300,300,SGD,0.6899670362472534,60.22
48,0.001,512,100000,3,-1,30,Adam,0.24961143732070923,78.2
49,0.001,512,100000,3,-1,30,SGD,0.6864346265792847,50.82
50,0.001,512,100000,3,-1,300,Adam,0.0995054841041565,67.86
51,0.001,512,100000,3,-1,300,SGD,0.6882227659225464,50.02
52,0.001,512,100000,3,300,30,Adam,0.02194320783019066,78.26
53,0.001,512,100000,3,300,30,SGD,0.684229850769043,52.8
54,0.001,512,100000,3,300,300,Adam,0.007608954794704914,79.94
55,0.001,512,100000,3,300,300,SGD,0.6711985468864441,54.98
56,0.001,512,100000,4,-1,30,Adam,0.48584848642349243,53.1
57,0.001,512,100000,4,-1,30,SGD,0.6949580311775208,49.0
58,0.001,512,100000,4,-1,300,Adam,0.5227509140968323,69.84
59,0.001,512,100000,4,-1,300,SGD,0.7090206146240234,50.86
60,0.001,512,100000,4,300,30,Adam,0.10436230152845383,71.98
61,0.001,512,100000,4,300,30,SGD,0.6977637410163879,49.86
62,0.001,512,100000,4,300,300,Adam,0.2221732884645462,73.86
63,0.001,512,100000,4,300,300,SGD,0.693314790725708,50.64
64,0.1,512,1000,1,-1,30,Adam,3.0548300743103027,50.0
65,0.1,512,1000,1,-1,30,SGD,0.6710286140441895,51.4
66,0.1,512,1000,1,-1,300,Adam,14.805849075317383,46.56
67,0.1,512,1000,1,-1,300,SGD,0.6689141392707825,55.1
68,0.1,512,1000,1,300,30,Adam,0.3966904282569885,83.52
69,0.1,512,1000,1,300,30,SGD,0.6260136961936951,72.48
70,0.1,512,1000,1,300,300,Adam,2.7157046794891357,60.44
71,0.1,512,1000,1,300,300,SGD,0.39046114683151245,79.96
72,0.1,512,1000,2,-1,30,Adam,6.277566909790039,50.0
73,0.1,512,1000,2,-1,30,SGD,0.745287299156189,52.22
74,0.1,512,1000,2,-1,300,Adam,10.072149276733398,50.0
75,0.1,512,1000,2,-1,300,SGD,0.7087229490280151,49.96
76,0.1,512,1000,2,300,30,Adam,0.30298054218292236,76.86
77,0.1,512,1000,2,300,30,SGD,0.6606422066688538,65.9
78,0.1,512,1000,2,300,300,Adam,0.5004324913024902,63.9
79,0.1,512,1000,2,300,300,SGD,0.5799764394760132,59.08
80,0.1,512,1000,3,-1,30,Adam,2.0775527954101562,51.42
81,0.1,512,1000,3,-1,30,SGD,0.6795339584350586,51.06
82,0.1,512,1000,3,-1,300,Adam,7.472164630889893,50.0
83,0.1,512,1000,3,-1,300,SGD,0.6825228333473206,50.6
84,0.1,512,1000,3,300,30,Adam,11.897941589355469,48.96
85,0.1,512,1000,3,300,30,SGD,0.6731393337249756,52.34
86,0.1,512,1000,3,300,300,Adam,4.587439060211182,50.0
87,0.1,512,1000,3,300,300,SGD,0.6584305167198181,54.68
88,0.1,512,1000,4,-1,30,Adam,2.9946210384368896,48.42
89,0.1,512,1000,4,-1,30,SGD,0.6940104961395264,50.76
90,0.1,512,1000,4,-1,300,Adam,2.300835132598877,50.16
91,0.1,512,1000,4,-1,300,SGD,0.7074774503707886,50.0
92,0.1,512,1000,4,300,30,Adam,20.00467300415039,50.0
93,0.1,512,1000,4,300,30,SGD,0.6877029538154602,51.34
94,0.1,512,1000,4,300,300,Adam,11.41601276397705,50.0
95,0.1,512,1000,4,300,300,SGD,0.6827459335327148,50.06
96,0.1,512,100000,1,-1,30,Adam,0.3215528726577759,82.4
97,0.1,512,100000,1,-1,30,SGD,0.6551149487495422,63.52
98,0.1,512,100000,1,-1,300,Adam,25.1845703125,50.0
99,0.1,512,100000,1,-1,300,SGD,0.5993423461914062,69.18
100,0.1,512,100000,1,300,30,Adam,0.00011636228009592742,81.94
101,0.1,512,100000,1,300,30,SGD,0.5105113983154297,80.78
102,0.1,512,100000,1,300,300,Adam,0.00010768718493636698,82.56
103,0.1,512,100000,1,300,300,SGD,0.33889004588127136,76.16
104,0.1,512,100000,2,-1,30,Adam,4.7242665459634736e-05,87.66
105,0.1,512,100000,2,-1,30,SGD,0.6898314952850342,50.08
106,0.1,512,100000,2,-1,300,Adam,0.034018874168395996,84.68
107,0.1,512,100000,2,-1,300,SGD,0.6947162747383118,52.02
108,0.1,512,100000,2,300,30,Adam,1.0329406904929783e-05,84.38
109,0.1,512,100000,2,300,30,SGD,0.8450937867164612,59.52
110,0.1,512,100000,2,300,300,Adam,4.425413499120623e-05,83.3
111,0.1,512,100000,2,300,300,SGD,0.4911600649356842,63.4
112,0.1,512,100000,3,-1,30,Adam,1.3827239274978638,50.0
113,0.1,512,100000,3,-1,30,SGD,0.6739308834075928,50.52
114,0.1,512,100000,3,-1,300,Adam,2.4343998432159424,50.0
115,0.1,512,100000,3,-1,300,SGD,0.6888622641563416,52.42
116,0.1,512,100000,3,300,30,Adam,2.627918183861766e-05,81.36
117,0.1,512,100000,3,300,30,SGD,0.6387288570404053,54.92
118,0.1,512,100000,3,300,300,Adam,0.0006121040787547827,82.56
119,0.1,512,100000,3,300,300,SGD,0.702214241027832,52.06
120,0.1,512,100000,4,-1,30,Adam,27.924497604370117,50.0
121,0.1,512,100000,4,-1,30,SGD,0.6902319192886353,50.34
122,0.1,512,100000,4,-1,300,Adam,3.63189697265625,49.92
123,0.1,512,100000,4,-1,300,SGD,0.693088173866272,51.38
124,0.1,512,100000,4,300,30,Adam,0.022590942680835724,77.24
125,0.1,512,100000,4,300,30,SGD,0.6956396102905273,50.26
126,0.1,512,100000,4,300,300,Adam,44.28446960449219,50.0
127,0.1,512,100000,4,300,300,SGD,0.6960087418556213,52.02
